소비유형,20대_총사용금액,30대_총사용금액,40대_총사용금액,50대_총사용금액,60대_총사용금액,total_사용금액,,2세부소비유형3순위,20대_사용금액3,2세부소비유형2순위,20대_사용금액2,2세부소비유형1순위,20대_사용금액1,,3세부소비유형3순위,30대_사용금액3,3세부소비유형2순위,30대_사용금액2,3세부소비유형1순위,30대_사용금액1,,,4세부소비유형3순위,40대_사용금액3,4세부소비유형2순위,40대_사용금액2,4세부소비유형1순위,40대_사용금액1,,5세부소비유형3순위,50대_사용금액3,5세부소비유형2순위,50대_사용금액2,5세부소비유형1순위,50대_사용금액1,,6세부소비유형3순위,60대_사용금액3,6세부소비유형2순위,60대_사용금액2,6세부소비유형1순위,60대_사용금액1
T,5212384000,15388547000,22810594000,24639569000,14483225000,82534319000,,T1,1357646000,S1,583115000,F1,11284718000,,H,17128526000,S1,583115000,F1,23203558000,,,H,28197986000,S1,583115000,F1,26064886000,,H,24693159000,S1,583115000,F1,21574135000,,H,14046448000,T1,434327000,F1,8890702000
S,13473244000,40964632000,45315018000,28010005000,10531883000,1.38295E+11,,T2,547135000,S2,630314000,F2,1061302000,,,,S2,630314000,F2,2362591000,,,,,S2,630314000,F2,2450658000,,,,S2,630314000,F2,1636294000,,,,T2,397207000,F2,574793000
U,2722547150,7000234280,9555169960,7877773980,3189929270,30345654640,,T3,3307603000,S3,2771223000,F3,6468126000,,,,S3,8637689000,F3,20137638000,,,,,S3,8881646000,F3,29399806000,,,,S3,5367684000,F3,25864494000,,,,T3,13651691000,F3,13280337000
F,18837002000,45811678000,58094797000,49276506000,22875062000,1.94895E+11,,,,S4,918452000,F4,22856000,,,,S4,1886810000,F4,107891000,,,,,S4,2390925000,F4,179447000,,,,S4,2052515000,F4,201583000,,,,,,F4,129230000
G,11970979000,34800171000,54071659000,40124585000,17042028000,1.58009E+11,,,,S5,7334835000,,,,,,S5,24945982000,,,,,,,S5,27647064000,,,,,,S5,14557420000,,,,,,,,,
H,3296479000,17128526000,28197986000,24693159000,14046448000,87362598000,,,,S6,187786000,,,,,,S6,801696000,,,,,,,S6,1316425000,,,,,,S6,1701689000,,,,,,,,,
E,376135000,4090463000,11167784000,3192216000,262962000,19089560000,,,,S7,121653000,,,,,,S7,224066000,,,,,,,S7,223329000,,,,,,S7,233602000,,,,,,,,,
M,843656000,2548814000,2443257000,1564349000,701098000,8101174000,,,,S8,268228000,,,,,,S8,512575000,,,,,,,S8,354112000,,,,,,S8,302211000,,,,,,,,,
P,2878986000,7170746000,9103900000,6432193000,2030829000,27616654000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
